item_id,citation_id,source_title,snippet,supports_answer
Q0001,Q0001_E1,Mathematics Essentials,"For the question 'What is the derivative of x^2?', the supported answer is '2x'.",2x
Q0001,Q0001_E2,Mathematics Reference Notes,The key concept related to 'What is the derivative of x^2?' should be checked carefully against authoritative instructional material.,2x
Q0001,Q0001_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the derivative of x^2?' is choosing 'x' incorrectly.,2x
Q0002,Q0002_E1,Mathematics Essentials,"For the question 'What is the integral of 1/x?', the supported answer is 'ln|x| + C'.",ln|x| + C
Q0002,Q0002_E2,Mathematics Reference Notes,The key concept related to 'What is the integral of 1/x?' should be checked carefully against authoritative instructional material.,ln|x| + C
Q0002,Q0002_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the integral of 1/x?' is choosing 'x + C' incorrectly.,ln|x| + C
Q0003,Q0003_E1,Mathematics Essentials,"For the question 'If f(x)=3x+2, what is f(4)?', the supported answer is '14'.",14
Q0003,Q0003_E2,Mathematics Reference Notes,"The key concept related to 'If f(x)=3x+2, what is f(4)?' should be checked carefully against authoritative instructional material.",14
Q0003,Q0003_E3,Mathematics Misconception Watchlist,"A common misconception for 'If f(x)=3x+2, what is f(4)?' is choosing '10' incorrectly.",14
Q0004,Q0004_E1,Mathematics Essentials,"For the question 'What is the value of sin(pi/2)?', the supported answer is '1'.",1
Q0004,Q0004_E2,Mathematics Reference Notes,The key concept related to 'What is the value of sin(pi/2)?' should be checked carefully against authoritative instructional material.,1
Q0004,Q0004_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the value of sin(pi/2)?' is choosing '0' incorrectly.,1
Q0005,Q0005_E1,Mathematics Essentials,"For the question 'What is the solution to 2x+3=11?', the supported answer is '4'.",4
Q0005,Q0005_E2,Mathematics Reference Notes,The key concept related to 'What is the solution to 2x+3=11?' should be checked carefully against authoritative instructional material.,4
Q0005,Q0005_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the solution to 2x+3=11?' is choosing '2' incorrectly.,4
Q0006,Q0006_E1,Mathematics Essentials,"For the question 'What is the derivative of x^2 (variant 2)?', the supported answer is '2x'.",2x
Q0006,Q0006_E2,Mathematics Reference Notes,The key concept related to 'What is the derivative of x^2 (variant 2)?' should be checked carefully against authoritative instructional material.,2x
Q0006,Q0006_E3,Mathematics Misconception Watchlist,A common misconception for 'What is the derivative of x^2 (variant 2)?' is choosing 'x' incorrectly.,2x
Q0007,Q0007_E1,Mathematics Essentials,"For the question 'What is the integral of 1/x (variant 2)?', the supported answer is 'ln|x| + C'.",ln|x| + C
