variant,item_id,subject,difficulty,question,answer,prediction_initial,confidence_initial,prediction_final,confidence_final,outcome,revision_action,citation_score_initial,fact_score_initial,citation_score_final,fact_score_final,hallucination,abstention,overconfident_error,unsupported_citation,misinformation_event,self_corrected
baseline,Q0001,mathematics,easy,What is the derivative of x^2?,2x,2x,0.811,2x,0.819,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0002,mathematics,medium,What is the integral of 1/x?,ln|x| + C,e^x + C,0.904,ABSTAIN,0.6,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0003,mathematics,easy,"If f(x)=3x+2, what is f(4)?",14,14,0.839,14,0.847,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0004,mathematics,easy,What is the value of sin(pi/2)?,1,ABSTAIN,0.473,ABSTAIN,0.473,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0005,mathematics,easy,What is the solution to 2x+3=11?,4,4,0.766,4,0.774,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0006,mathematics,easy,What is the derivative of x^2 (variant 2)?,2x,x,0.796,x,0.796,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0007,mathematics,medium,What is the integral of 1/x (variant 2)?,ln|x| + C,ln|x| + C,0.81,ln|x| + C,0.818,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0008,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 2)?",14,14,0.875,14,0.883,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0009,mathematics,easy,What is the value of sin(pi/2) (variant 2)?,1,1,0.785,1,0.793,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0010,mathematics,easy,What is the solution to 2x+3=11 (variant 2)?,4,ABSTAIN,0.432,ABSTAIN,0.432,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0011,mathematics,easy,What is the derivative of x^2 (variant 3)?,2x,2x,0.849,2x,0.857,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0012,mathematics,medium,What is the integral of 1/x (variant 3)?,ln|x| + C,ln|x| + C,0.805,ln|x| + C,0.813,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0013,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 3)?",14,14,0.831,14,0.839,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0014,mathematics,easy,What is the value of sin(pi/2) (variant 3)?,1,0,0.863,0,0.863,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0015,mathematics,easy,What is the solution to 2x+3=11 (variant 3)?,4,4,0.675,4,0.683,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0016,mathematics,easy,What is the derivative of x^2 (variant 4)?,2x,2x,0.864,2x,0.872,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0017,mathematics,medium,What is the integral of 1/x (variant 4)?,ln|x| + C,e^x + C,0.722,ABSTAIN,0.522,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0018,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 4)?",14,14,0.732,14,0.74,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0019,mathematics,easy,What is the value of sin(pi/2) (variant 4)?,1,1/2,0.788,1/2,0.788,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0020,mathematics,easy,What is the solution to 2x+3=11 (variant 4)?,4,4,0.768,4,0.776,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0021,mathematics,easy,What is the derivative of x^2 (variant 5)?,2x,x^2,0.811,x^2,0.811,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0022,mathematics,medium,What is the integral of 1/x (variant 5)?,ln|x| + C,ln|x| + C,0.875,ln|x| + C,0.883,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0023,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 5)?",14,14,0.896,14,0.904,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0024,mathematics,easy,What is the value of sin(pi/2) (variant 5)?,1,1,0.775,1,0.783,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0025,mathematics,easy,What is the solution to 2x+3=11 (variant 5)?,4,4,0.673,4,0.681,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0026,mathematics,easy,What is the derivative of x^2 (variant 6)?,2x,2x,0.733,2x,0.741,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0027,mathematics,medium,What is the integral of 1/x (variant 6)?,ln|x| + C,ln|x| + C,0.841,ln|x| + C,0.849,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0028,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 6)?",14,14,0.833,14,0.841,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0029,mathematics,easy,What is the value of sin(pi/2) (variant 6)?,1,1,0.892,1,0.9,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0030,mathematics,easy,What is the solution to 2x+3=11 (variant 6)?,4,4,0.85,4,0.858,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0031,mathematics,easy,What is the derivative of x^2 (variant 7)?,2x,x,0.795,x,0.795,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0032,mathematics,medium,What is the integral of 1/x (variant 7)?,ln|x| + C,1/x + C,0.766,ABSTAIN,0.566,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0033,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 7)?",14,14,0.977,14,0.98,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0034,mathematics,easy,What is the value of sin(pi/2) (variant 7)?,1,1,0.773,1,0.781,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0035,mathematics,easy,What is the solution to 2x+3=11 (variant 7)?,4,5,0.769,5,0.769,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0036,mathematics,easy,What is the derivative of x^2 (variant 8)?,2x,1,0.983,1,0.983,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0037,mathematics,medium,What is the integral of 1/x (variant 8)?,ln|x| + C,e^x + C,0.809,e^x + C,0.809,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0038,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 8)?",14,12,0.841,12,0.841,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0039,mathematics,easy,What is the value of sin(pi/2) (variant 8)?,1,1,0.934,1,0.942,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0040,mathematics,easy,What is the solution to 2x+3=11 (variant 8)?,4,5,0.912,5,0.912,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
baseline,Q0041,physics,easy,What is the SI unit of force?,Newton,Newton,0.76,Newton,0.768,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0042,physics,easy,What is the speed of light in vacuum?,3×10^8 m/s,3×10^8 m/s,0.801,3×10^8 m/s,0.809,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0043,physics,easy,Ohm's law is expressed as?,V=IR,V=IR,0.813,V=IR,0.821,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0044,physics,medium,Which quantity is conserved in an isolated system?,Mass-energy,Temperature,0.74,Temperature,0.74,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
baseline,Q0045,physics,easy,Unit of electric current?,Ampere,Ampere,0.82,Ampere,0.828,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0046,physics,easy,What is the SI unit of force (variant 2)?,Newton,ABSTAIN,0.409,ABSTAIN,0.409,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0047,physics,easy,What is the speed of light in vacuum (variant 2)?,3×10^8 m/s,3×10^8 m/s,0.945,3×10^8 m/s,0.953,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0048,physics,easy,Ohm's law is expressed as (variant 2)?,V=IR,ABSTAIN,0.386,ABSTAIN,0.386,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0049,physics,medium,Which quantity is conserved in an isolated system (variant 2)?,Mass-energy,ABSTAIN,0.45,ABSTAIN,0.45,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0050,physics,easy,Unit of electric current (variant 2)?,Ampere,Ampere,0.834,Ampere,0.842,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0051,physics,easy,What is the SI unit of force (variant 3)?,Newton,Newton,0.792,Newton,0.8,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0052,physics,easy,What is the speed of light in vacuum (variant 3)?,3×10^8 m/s,3×10^8 m/s,0.657,3×10^8 m/s,0.665,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0053,physics,easy,Ohm's law is expressed as (variant 3)?,V=IR,V=IR,0.917,V=IR,0.925,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0054,physics,medium,Which quantity is conserved in an isolated system (variant 3)?,Mass-energy,Mass-energy,0.886,Mass-energy,0.894,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0055,physics,easy,Unit of electric current (variant 3)?,Ampere,Ampere,0.754,Ampere,0.762,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0056,physics,easy,What is the SI unit of force (variant 4)?,Newton,ABSTAIN,0.285,ABSTAIN,0.285,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0057,physics,easy,What is the speed of light in vacuum (variant 4)?,3×10^8 m/s,3×10^6 m/s,0.821,3×10^6 m/s,0.821,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0058,physics,easy,Ohm's law is expressed as (variant 4)?,V=IR,V=IR,0.872,V=IR,0.88,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0059,physics,medium,Which quantity is conserved in an isolated system (variant 4)?,Mass-energy,Resistance,0.904,ABSTAIN,0.6,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0060,physics,easy,Unit of electric current (variant 4)?,Ampere,Ampere,0.673,Ampere,0.681,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0061,physics,easy,What is the SI unit of force (variant 5)?,Newton,ABSTAIN,0.492,ABSTAIN,0.492,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0062,physics,easy,What is the speed of light in vacuum (variant 5)?,3×10^8 m/s,3×10^8 m/s,0.894,3×10^8 m/s,0.902,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0063,physics,easy,Ohm's law is expressed as (variant 5)?,V=IR,P=IV,0.824,P=IV,0.824,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0064,physics,medium,Which quantity is conserved in an isolated system (variant 5)?,Mass-energy,Resistance,0.827,Resistance,0.827,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
baseline,Q0065,physics,easy,Unit of electric current (variant 5)?,Ampere,Tesla,0.747,ABSTAIN,0.547,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0066,physics,easy,What is the SI unit of force (variant 6)?,Newton,Newton,0.741,Newton,0.749,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0067,physics,easy,What is the speed of light in vacuum (variant 6)?,3×10^8 m/s,3×10^8 m/s,0.81,3×10^8 m/s,0.818,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0068,physics,easy,Ohm's law is expressed as (variant 6)?,V=IR,E=mc^2,0.855,ABSTAIN,0.6,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0069,physics,medium,Which quantity is conserved in an isolated system (variant 6)?,Mass-energy,Mass-energy,0.862,Mass-energy,0.87,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0070,physics,easy,Unit of electric current (variant 6)?,Ampere,Ampere,0.919,Ampere,0.927,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0071,physics,easy,What is the SI unit of force (variant 7)?,Newton,Joule,0.79,ABSTAIN,0.59,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
baseline,Q0072,physics,easy,What is the speed of light in vacuum (variant 7)?,3×10^8 m/s,3×10^8 m/s,0.809,3×10^8 m/s,0.817,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0073,physics,easy,Ohm's law is expressed as (variant 7)?,V=IR,V=IR,0.786,V=IR,0.794,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
baseline,Q0074,physics,medium,Which quantity is conserved in an isolated system (variant 7)?,Mass-energy,Mass-energy,0.759,Mass-energy,0.767,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
